,Possession %,Time In Possession,All Runs,All Run Metres,Post Contact Metres,Line Breaks,Tackle Breaks,Average Set Distance,Kick Return Metres,Average Play The Ball Speed,Offloads,Receipts,Total Passes,Dummy Passes,Kicks,Kicking Metres,Forced Drop Outs,Kick Defusal %,Bombs,Grubbers,Effective Tackle %,Tackles Made,Missed Tackles,Intercepts,Ineffective Tackles,Errors,Penalties Conceded,Used,Completions (%),Completed Sets Ratio,Match,Team,Year
0,55%,31:40,201,"1,952",551,6,38,48.8,267,3.31s,12,474,266,10,25,693,2,83%,6,4,91.4%,329,13,0,18,8,2,8,80%,32/40,Warriors vs Bulldogs,Warriors,2019
1,45%,25:54,165,"1,498",431,1,13,46.8,216,3.62s,14,384,205,5,25,688,1,71%,2,3,86.9%,365,38,1,17,5,3,7,88%,28/32,Warriors vs Bulldogs,Bulldogs,2019
