,Possession %,Time In Possession,All Runs,All Run Metres,Post Contact Metres,Line Breaks,Tackle Breaks,Average Set Distance,Kick Return Metres,Average Play The Ball Speed,Offloads,Receipts,Total Passes,Dummy Passes,Kicks,Kicking Metres,Forced Drop Outs,Kick Defusal %,Bombs,Grubbers,Effective Tackle %,Tackles Made,Missed Tackles,Ineffective Tackles,Errors,Penalties Conceded,Sin Bins,Used,Completions (%),Completed Sets Ratio,Match,Team,Year
0,48%,24:20,170,"1,412",418,6,24,41.5,160,3.54s,11,362,192,10,20,563,1,43%,4,2,91%,352,30,5,9,3,0,8,76%,26/34,Warriors vs Panthers,Warriors,2017
1,52%,26:22,164,"1,544",433,4,30,45.4,169,3.3s,5,345,163,16,20,508,1,38%,7,4,88.7%,298,24,14,9,4,1,7,79%,27/34,Warriors vs Panthers,Panthers,2017
