,Possession %,Time In Possession,All Runs,All Run Metres,Post Contact Metres,Line Breaks,Tackle Breaks,Average Set Distance,Kick Return Metres,Average Play The Ball Speed,Offloads,Receipts,Total Passes,Dummy Passes,Kicks,Kicking Metres,Forced Drop Outs,Kick Defusal %,Bombs,Grubbers,Effective Tackle %,Tackles Made,Missed Tackles,Intercepts,Ineffective Tackles,Errors,Penalties Conceded,On Reports,Used,Head Injury Assessment,Completions (%),Completed Sets Ratio,Match,Team,Year
0,57%,31:23,206,"2,000",507,4,54,47.6,214,3.52s,13,461,248,14,25,684,1,50%,9,6,89.2%,273,16,1,17,12,6,0,8,1,76%,32/42,Roosters vs Broncos,Roosters,2019
1,43%,23:41,151,"1,270",295,4,16,34.3,114,3.11s,9,340,178,7,20,601,1,67%,3,7,83.7%,381,54,0,20,17,4,1,7,1,70%,26/37,Roosters vs Broncos,Broncos,2019
