,Possession %,Time In Possession,All Runs,All Run Metres,Post Contact Metres,Line Breaks,Tackle Breaks,Average Set Distance,Kick Return Metres,Offloads,Receipts,Total Passes,Dummy Passes,Kicks,Kicking Metres,Forced Drop Outs,Kick Defusal %,Bombs,Grubbers,Effective Tackle %,Tackles Made,Missed Tackles,Intercepts,Ineffective Tackles,Penalties Conceded,Completions (%),Completed Sets Ratio,Match,Team,Year
0,41%,20:43,145,"1,408",505,3,19,40.2,153,13,361,191,11,17,406,1,83%,4,4,86.7%,306,30,0,17,8,69%,24/35,Titans vs Panthers,Titans,2014
1,59%,29:48,164,"1,579",402,5,30,37.6,175,11,385,207,14,16,466,1,100%,3,4,89.4%,311,19,1,18,6,79%,33/42,Titans vs Panthers,Panthers,2014
