,Possession %,Time In Possession,All Runs,All Run Metres,Post Contact Metres,Line Breaks,Tackle Breaks,Average Set Distance,Kick Return Metres,Offloads,Receipts,Total Passes,Dummy Passes,Kicks,Kicking Metres,Forced Drop Outs,Kick Defusal %,Bombs,Grubbers,Effective Tackle %,Tackles Made,Missed Tackles,Intercepts,Ineffective Tackles,Penalties Conceded,On Reports,Completions (%),Completed Sets Ratio,Match,Team,Year
0,58%,30:57,169,"1,580",581,3,25,39.5,275,7,431,246,7,18,451,2,94%,2,4,90.4%,303,19,0,13,4,1,72%,29/40,Bulldogs vs Cowboys,Bulldogs,2014
1,42%,22:25,155,"1,436",532,3,19,39.9,200,8,389,206,8,20,684,2,82%,2,2,89.9%,347,25,1,14,8,0,75%,27/36,Bulldogs vs Cowboys,Cowboys,2014
