,Possession %,Time In Possession,All Runs,All Run Metres,Post Contact Metres,Line Breaks,Tackle Breaks,Average Set Distance,Kick Return Metres,Average Play The Ball Speed,Offloads,Receipts,Total Passes,Dummy Passes,Kicks,Kicking Metres,Forced Drop Outs,Kick Defusal %,Bombs,Grubbers,Effective Tackle %,Tackles Made,Missed Tackles,Intercepts,Ineffective Tackles,Errors,Penalties Conceded,Used,Head Injury Assessment,Completions (%),Completed Sets Ratio,Match,Team,Year
0,56%,28:18,165,"1,355",435,3,37,35.7,105,3.63s,8,407,241,66,13,253,1,88%,6,5,87.7%,272,19,0,19,15,6,7,0,66%,25/38,Cowboys vs Sharks,Cowboys,2018
1,44%,22:14,134,"1,152",357,1,19,36,51,3.46s,11,306,163,35,14,293,0,55%,2,5,86.6%,323,37,2,13,14,10,6,2,63%,20/32,Cowboys vs Sharks,Sharks,2018
