,Possession %,Time In Possession,All Runs,All Run Metres,Post Contact Metres,Line Breaks,Tackle Breaks,Average Set Distance,Kick Return Metres,Average Play The Ball Speed,Offloads,Receipts,Total Passes,Dummy Passes,Kicks,Kicking Metres,Forced Drop Outs,Kick Defusal %,40/20,Bombs,Grubbers,Effective Tackle %,Tackles Made,Missed Tackles,Ineffective Tackles,Errors,Penalties Conceded,On Reports,Used,Head Injury Assessment,Completions (%),Completed Sets Ratio,Match,Team,Year
0,56%,26:41,173,"1,513",460,8,35,40.9,157,3.57s,16,421,237,23,20,407,5,33%,0,1,7,91.3%,242,16,7,4,6,0,8,2,92%,34/37,Eels vs Sea Eagles,Eels,2018
1,44%,20:58,107,825,285,2,16,30.6,90,3.4s,6,253,138,9,8,196,0,60%,1,1,1,85.1%,331,35,23,11,13,1,8,0,59%,16/27,Eels vs Sea Eagles,Sea Eagles,2018
