,Possession %,Time In Possession,All Runs,All Run Metres,Post Contact Metres,Line Breaks,Tackle Breaks,Average Set Distance,Kick Return Metres,Average Play The Ball Speed,Offloads,Receipts,Total Passes,Dummy Passes,Kicks,Kicking Metres,Forced Drop Outs,Kick Defusal %,Bombs,Grubbers,Effective Tackle %,Tackles Made,Missed Tackles,Intercepts,Ineffective Tackles,Penalties Conceded,Completions (%),Completed Sets Ratio,Match,Team,Year
0,59%,29:36,191,"2,084",645,7,37,52.1,239,3.69s,16,440,240,25,20,453,0,82%,6,4,84.7%,310,38,1,18,4,72%,29/40,Roosters vs Warriors,Roosters,2015
1,41%,20:34,165,"1,532",520,3,38,45.1,135,4.05s,9,387,211,28,21,645,1,85%,6,3,84.3%,354,37,0,29,6,71%,24/34,Roosters vs Warriors,Warriors,2015
