,Possession %,Time In Possession,All Runs,All Run Metres,Post Contact Metres,Line Breaks,Tackle Breaks,Average Set Distance,Kick Return Metres,Average Play The Ball Speed,Offloads,Receipts,Total Passes,Dummy Passes,Kicks,Kicking Metres,Forced Drop Outs,Kick Defusal %,Bombs,Grubbers,Effective Tackle %,Tackles Made,Missed Tackles,Intercepts,Ineffective Tackles,Penalties Conceded,Completions (%),Completed Sets Ratio,Match,Team,Year
0,42%,22:47,187,"1,781",560,5,13,44.5,207,3.64s,7,400,218,38,22,638,0,64%,4,3,89%,374,26,0,20,6,72%,29/40,Broncos vs Dragons,Broncos,2015
1,58%,31:28,191,"1,748",541,0,26,48.6,193,3.9s,11,401,210,29,23,600,1,89%,2,7,93.1%,378,13,1,15,4,81%,29/36,Broncos vs Dragons,Dragons,2015
