,Possession %,Time In Possession,All Runs,All Run Metres,Post Contact Metres,Line Breaks,Tackle Breaks,Average Set Distance,Kick Return Metres,Average Play The Ball Speed,Offloads,Receipts,Total Passes,Dummy Passes,Kicks,Kicking Metres,Forced Drop Outs,Kick Defusal %,Bombs,Grubbers,Effective Tackle %,Tackles Made,Missed Tackles,Intercepts,Ineffective Tackles,Errors,Penalties Conceded,On Reports,Used,Completions (%),Completed Sets Ratio,Match,Team,Year
0,57%,28:27,168,"1,627",522,5,35,39.7,220,3.76s,9,384,208,16,17,480,2,40%,4,4,88.8%,238,16,1,14,10,7,0,8,71%,29/41,Dragons vs Broncos,Dragons,2018
1,43%,21:28,130,"1,085",355,2,16,32.9,168,3.6s,9,298,162,10,14,384,0,67%,2,5,87.1%,339,35,0,15,13,9,1,8,64%,21/33,Dragons vs Broncos,Broncos,2018
