,Possession %,Time In Possession,All Runs,All Run Metres,Post Contact Metres,Line Breaks,Tackle Breaks,Average Set Distance,Kick Return Metres,Average Play The Ball Speed,Offloads,Receipts,Total Passes,Dummy Passes,Kicks,Kicking Metres,Forced Drop Outs,Kick Defusal %,Bombs,Grubbers,Effective Tackle %,Tackles Made,Missed Tackles,Intercepts,Ineffective Tackles,Errors,Penalties Conceded,On Reports,Used,Head Injury Assessment,Completions (%),Completed Sets Ratio,Match,Team,Year
0,55%,27:49,201,"1,822",574,4,37,39.6,169,3.36s,21,403,196,29,20,478,1,64%,4,6,88.3%,280,25,1,12,11,4,0,6,0,76%,35/46,Raiders vs Warriors,Raiders,2017
1,45%,22:46,157,"1,473",419,1,25,40.9,173,3.59s,9,340,174,22,20,568,2,80%,7,3,82.9%,343,37,0,34,16,9,1,7,2,67%,24/36,Raiders vs Warriors,Warriors,2017
