,Possession %,Time In Possession,All Runs,All Run Metres,Post Contact Metres,Line Breaks,Tackle Breaks,Average Set Distance,Kick Return Metres,Average Play The Ball Speed,Offloads,Receipts,Total Passes,Dummy Passes,Kicks,Kicking Metres,Forced Drop Outs,Kick Defusal %,Bombs,Grubbers,Effective Tackle %,Tackles Made,Missed Tackles,Ineffective Tackles,Penalties Conceded,Completions (%),Completed Sets Ratio,Match,Team,Year
0,54%,33:30,197,"1,769",593,2,26,39.3,176,3.76s,10,456,235,23,29,869,1,80%,7,2,90.2%,406,29,15,7,78%,35/45,Wests Tigers vs Cowboys,Wests Tigers,2015
1,46%,28:33,199,"1,908",739,1,29,46.5,177,3.7s,8,438,224,26,27,830,0,73%,9,3,91.4%,438,26,15,6,85%,35/41,Wests Tigers vs Cowboys,Cowboys,2015
