,Possession %,Time In Possession,All Runs,All Run Metres,Post Contact Metres,Line Breaks,Tackle Breaks,Average Set Distance,Kick Return Metres,Average Play The Ball Speed,Offloads,Receipts,Total Passes,Dummy Passes,Kicks,Kicking Metres,Forced Drop Outs,Kick Defusal %,Bombs,Grubbers,Effective Tackle %,Tackles Made,Missed Tackles,Intercepts,Ineffective Tackles,Errors,Penalties Conceded,Used,Head Injury Assessment,Completions (%),Completed Sets Ratio,Match,Team,Year
0,48%,25:16,168,"1,363",403,3,36,35.9,103,3.16s,6,372,198,5,20,482,1,62%,5,5,88.5%,345,35,1,10,12,6,8,1,76%,29/38,Knights vs Panthers,Knights,2019
1,52%,27:22,169,"1,525",453,2,35,39.1,180,3.43s,4,403,228,9,20,570,4,58%,4,6,88.4%,319,36,1,6,13,9,8,0,69%,27/39,Knights vs Panthers,Panthers,2019
