,Possession %,Time In Possession,All Runs,All Run Metres,Post Contact Metres,Line Breaks,Tackle Breaks,Average Set Distance,Kick Return Metres,Average Play The Ball Speed,Offloads,Receipts,Total Passes,Dummy Passes,Kicks,Kicking Metres,Forced Drop Outs,Kick Defusal %,Bombs,Grubbers,Effective Tackle %,Tackles Made,Missed Tackles,Ineffective Tackles,Errors,Penalties Conceded,On Reports,Used,Completions (%),Completed Sets Ratio,Match,Team,Year
0,51%,28:40,180,"1,462",209,3,24,38.5,163,3.75s,18,387,199,8,20,521,2,85%,5,5,90.3%,374,28,12,5,5,0,8,87%,33/38,Panthers vs Cowboys,Panthers,2016
1,49%,27:33,191,"1,595",322,5,28,43.1,166,3.52s,7,438,248,14,24,593,0,73%,8,4,87.1%,357,24,29,3,9,1,7,84%,31/37,Panthers vs Cowboys,Cowboys,2016
