,Possession %,Time In Possession,All Runs,All Run Metres,Post Contact Metres,Line Breaks,Tackle Breaks,Average Set Distance,Kick Return Metres,Average Play The Ball Speed,Offloads,Receipts,Total Passes,Dummy Passes,Kicks,Kicking Metres,Forced Drop Outs,Kick Defusal %,40/20,Bombs,Grubbers,Effective Tackle %,Tackles Made,Missed Tackles,Ineffective Tackles,Errors,Penalties Conceded,Used,Completions (%),Completed Sets Ratio,Match,Team,Year
0,44%,22:07,139,"1,226",380,1,21,37.2,89,2.95s,7,300,161,18,14,448,0,62%,1,1,1,89.4%,372,27,17,10,8,7,67%,22/33,Broncos vs Panthers,Broncos,2016
1,56%,28:10,188,"1,692",485,5,27,44.5,286,2.92s,11,423,234,15,18,476,3,75%,0,4,5,90.5%,287,21,9,9,5,8,82%,31/38,Broncos vs Panthers,Panthers,2016
