,Possession %,Time In Possession,All Runs,All Run Metres,Post Contact Metres,Line Breaks,Tackle Breaks,Average Set Distance,Kick Return Metres,Average Play The Ball Speed,Offloads,Receipts,Total Passes,Dummy Passes,Kicks,Kicking Metres,Forced Drop Outs,Kick Defusal %,Bombs,Grubbers,Effective Tackle %,Tackles Made,Missed Tackles,Ineffective Tackles,Errors,Penalties Conceded,Sin Bins,Used,Head Injury Assessment,Completions (%),Completed Sets Ratio,Match,Team,Year
0,51%,25:03,158,"1,627",599,3,37,41.7,215,3.54s,8,349,184,16,17,383,0,83%,9,4,91.5%,289,18,9,11,8,1,7,0,77%,30/39,Roosters vs Titans,Roosters,2018
1,49%,24:05,152,"1,437",534,2,18,39.9,130,3.37s,6,390,229,16,15,364,1,64%,3,4,87.4%,327,37,10,11,11,1,6,2,69%,25/36,Roosters vs Titans,Titans,2018
