,Possession %,Time In Possession,All Runs,All Run Metres,Post Contact Metres,Line Breaks,Tackle Breaks,Average Set Distance,Kick Return Metres,Average Play The Ball Speed,Offloads,Receipts,Total Passes,Dummy Passes,Kicks,Kicking Metres,Kick Defusal %,40/20,Bombs,Grubbers,Effective Tackle %,Tackles Made,Missed Tackles,Intercepts,Ineffective Tackles,Penalties Conceded,Completions (%),Completed Sets Ratio,Match,Team,Year
0,65%,29:39,166,"1,620",615,2,40,45,163,3.95s,12,405,218,20,23,675,92%,1,3,4,87.9%,326,22,1,23,5,81%,29/36,Dragons vs Raiders,Dragons,2015
1,35%,15:58,154,"1,428",531,4,22,42,151,4.24s,14,329,173,22,16,354,67%,0,4,2,85.6%,346,40,0,18,6,76%,26/34,Dragons vs Raiders,Raiders,2015
