,Possession %,Time In Possession,All Runs,All Run Metres,Post Contact Metres,Line Breaks,Tackle Breaks,Average Set Distance,Kick Return Metres,Average Play The Ball Speed,Offloads,Receipts,Total Passes,Dummy Passes,Kicks,Kicking Metres,Kick Defusal %,Grubbers,Effective Tackle %,Tackles Made,Missed Tackles,Intercepts,Ineffective Tackles,Penalties Conceded,Completions (%),Completed Sets Ratio,Match,Team,Year
0,55%,25:22,163,"1,579",561,5,25,40.5,294,3.12s,4,371,204,28,21,658,82%,4,90.4%,320,21,0,13,5,82%,32/39,Dragons vs Sharks,Dragons,2015
1,45%,20:45,143,"1,211",407,0,21,37.9,167,3.17s,10,328,180,17,20,499,60%,9,90.3%,337,25,1,11,11,78%,25/32,Dragons vs Sharks,Sharks,2015
