,Possession %,Time In Possession,All Runs,All Run Metres,Post Contact Metres,Line Breaks,Tackle Breaks,Average Set Distance,Kick Return Metres,Average Play The Ball Speed,Offloads,Receipts,Total Passes,Dummy Passes,Kicks,Kicking Metres,Forced Drop Outs,Kick Defusal %,Bombs,Grubbers,Effective Tackle %,Tackles Made,Missed Tackles,Ineffective Tackles,Errors,Penalties Conceded,On Reports,Sin Bins,Used,Head Injury Assessment,Completions (%),Completed Sets Ratio,Match,Team,Year
0,55%,25:57,206,"1,816",472,5,33,43.3,169,2.83s,21,451,254,11,17,436,1,50%,2,6,84.4%,276,28,23,10,3,1,1,7,3,76%,32/42,Warriors vs Roosters,Warriors,2016
1,45%,21:13,156,"1,478",443,4,28,47.7,123,3.12s,17,336,175,13,17,456,1,70%,3,3,84.8%,357,33,31,10,10,0,0,7,3,65%,20/31,Warriors vs Roosters,Roosters,2016
