,Possession %,Time In Possession,All Runs,All Run Metres,Post Contact Metres,Line Breaks,Tackle Breaks,Average Set Distance,Kick Return Metres,Average Play The Ball Speed,Offloads,Receipts,Total Passes,Dummy Passes,Kicks,Kicking Metres,Forced Drop Outs,Kick Defusal %,Bombs,Grubbers,Effective Tackle %,Tackles Made,Missed Tackles,Ineffective Tackles,Errors,Penalties Conceded,On Reports,Used,Head Injury Assessment,Completions (%),Completed Sets Ratio,Match,Team,Year
0,49%,27:46,181,"1,694",595,3,35,48.4,216,3.36s,6,363,185,6,18,490,2,75%,7,1,82.6%,337,37,34,5,2,1,8,1,89%,31/35,Rabbitohs vs Sea Eagles,Rabbitohs,2019
1,51%,28:54,217,"1,907",604,3,37,56.1,256,3.3s,20,418,229,12,21,353,3,78%,2,12,87.3%,303,35,9,9,8,0,7,1,76%,26/34,Rabbitohs vs Sea Eagles,Sea Eagles,2019
