,Possession %,Time In Possession,All Runs,All Run Metres,Post Contact Metres,Line Breaks,Tackle Breaks,Average Set Distance,Kick Return Metres,Average Play The Ball Speed,Offloads,Receipts,Total Passes,Dummy Passes,Kicks,Kicking Metres,Forced Drop Outs,Kick Defusal %,Bombs,Grubbers,Effective Tackle %,Tackles Made,Missed Tackles,Intercepts,Ineffective Tackles,Errors,Penalties Conceded,Used,Completions (%),Completed Sets Ratio,Match,Team,Year
0,45%,25:04,174,"1,516",336,3,26,41,207,3.12s,10,393,212,10,21,526,1,85%,6,4,90.4%,357,28,0,10,10,4,7,76%,28/37,Bulldogs vs Dragons,Bulldogs,2019
1,55%,30:39,200,"1,873",360,6,28,48,221,3.41s,8,459,253,12,25,665,2,82%,6,6,88%,331,26,1,19,9,3,8,87%,34/39,Bulldogs vs Dragons,Dragons,2019
