,Possession %,Time In Possession,All Runs,All Run Metres,Post Contact Metres,Line Breaks,Tackle Breaks,Average Set Distance,Kick Return Metres,Average Play The Ball Speed,Offloads,Receipts,Total Passes,Dummy Passes,Kicks,Kicking Metres,Forced Drop Outs,Kick Defusal %,Bombs,Grubbers,Effective Tackle %,Tackles Made,Missed Tackles,Ineffective Tackles,Errors,Penalties Conceded,On Reports,Sin Bins,Used,Head Injury Assessment,Completions (%),Completed Sets Ratio,Match,Team,Year
0,54%,29:28,169,"1,546",559,3,26,40.7,147,3.68s,6,375,206,30,15,338,1,67%,3,3,89.5%,325,24,14,8,10,0,1,9,1,84%,32/38,Warriors vs Rabbitohs,Warriors,2018
1,46%,25:06,153,"1,526",532,6,24,43.6,160,3.4s,10,369,208,30,16,505,0,50%,2,4,91.5%,353,26,7,5,15,1,2,8,0,86%,30/35,Warriors vs Rabbitohs,Rabbitohs,2018
