,Possession %,Time In Possession,All Runs,All Run Metres,Post Contact Metres,Line Breaks,Tackle Breaks,Average Set Distance,Kick Return Metres,Average Play The Ball Speed,Offloads,Receipts,Total Passes,Dummy Passes,Kicks,Kicking Metres,Forced Drop Outs,Kick Defusal %,Bombs,Grubbers,Effective Tackle %,Tackles Made,Missed Tackles,Intercepts,Ineffective Tackles,Errors,Penalties Conceded,Used,Head Injury Assessment,Completions (%),Completed Sets Ratio,Match,Team,Year
0,56%,34:39,226,"2,109",730,2,35,43.1,216,3.77s,13,501,259,24,29,690,2,89%,4,7,82.3%,316,49,1,19,5,8,8,2,84%,41/49,Dragons vs Raiders,Dragons,2016
1,44%,27:14,191,"1,942",613,6,49,45.2,177,3.19s,15,383,194,16,16,374,0,69%,4,1,87.8%,437,35,1,26,15,9,10,0,60%,26/43,Dragons vs Raiders,Raiders,2016
