,Possession %,Time In Possession,All Runs,All Run Metres,Post Contact Metres,Line Breaks,Tackle Breaks,Average Set Distance,Kick Return Metres,Offloads,Receipts,Total Passes,Dummy Passes,Kicks,Kicking Metres,Forced Drop Outs,Kick Defusal %,Bombs,Grubbers,Effective Tackle %,Tackles Made,Missed Tackles,Ineffective Tackles,Penalties Conceded,On Reports,Completions (%),Completed Sets Ratio,Match,Team,Year
0,61%,30:04,185,"1,621",578,4,36,39.6,242,11,467,267,11,18,397,3,80%,5,1,88.3%,271,21,15,3,0,68%,28/41,Dragons vs Sea Eagles,Dragons,2013
1,39%,19:13,134,"1,202",410,5,21,36.4,135,8,325,164,8,15,571,0,79%,4,1,86.8%,363,36,19,9,1,76%,25/33,Dragons vs Sea Eagles,Sea Eagles,2013
