,Possession %,Time In Possession,All Runs,All Run Metres,Post Contact Metres,Line Breaks,Tackle Breaks,Average Set Distance,Kick Return Metres,Average Play The Ball Speed,Offloads,Receipts,Total Passes,Dummy Passes,Kicks,Kicking Metres,Kick Defusal %,Bombs,Grubbers,Effective Tackle %,Tackles Made,Missed Tackles,Intercepts,Ineffective Tackles,Errors,Penalties Conceded,Used,Completions (%),Completed Sets Ratio,Match,Team,Year
0,38%,19:40,157,"1,548",353,6,32,50,126,3.57s,11,326,164,7,20,507,50%,1,4,82.3%,326,36,2,34,7,8,8,77%,24/31,Wests Tigers vs Panthers,Wests Tigers,2016
1,62%,32:05,205,"1,823",520,8,36,45.6,158,3.36s,25,430,232,31,16,250,64%,6,5,86%,283,32,0,14,14,2,8,68%,27/40,Wests Tigers vs Panthers,Panthers,2016
