,Possession %,Time In Possession,All Runs,All Run Metres,Post Contact Metres,Line Breaks,Tackle Breaks,Average Set Distance,Kick Return Metres,Average Play The Ball Speed,Offloads,Receipts,Total Passes,Dummy Passes,Kicks,Kicking Metres,Forced Drop Outs,Kick Defusal %,Bombs,Grubbers,Effective Tackle %,Tackles Made,Missed Tackles,Ineffective Tackles,Errors,Penalties Conceded,On Reports,Sin Bins,Used,Completions (%),Completed Sets Ratio,Match,Team,Year
0,51%,28:05,165,"1,354",486,4,28,33,113,3.4s,13,384,204,18,22,584,0,85%,4,4,88.8%,355,24,21,8,11,1,1,7,80%,33/41,Sharks vs Bulldogs,Sharks,2018
1,49%,26:59,178,"1,641",589,5,24,39.1,216,3.28s,15,424,233,24,20,476,1,100%,5,2,87.4%,327,28,19,9,11,0,0,7,81%,34/42,Sharks vs Bulldogs,Bulldogs,2018
