,Possession %,Time In Possession,All Runs,All Run Metres,Post Contact Metres,Line Breaks,Tackle Breaks,Average Set Distance,Kick Return Metres,Average Play The Ball Speed,Offloads,Receipts,Total Passes,Dummy Passes,Kicks,Kicking Metres,Forced Drop Outs,Kick Defusal %,40/20,Bombs,Grubbers,Effective Tackle %,Tackles Made,Missed Tackles,Ineffective Tackles,Errors,Penalties Conceded,Used,Head Injury Assessment,Completions (%),Completed Sets Ratio,Match,Team,Year
0,52%,28:14,204,"1,730",472,2,22,40.2,149,3.16s,9,443,243,19,17,402,1,87%,1,4,4,91%,333,19,14,13,8,8,0,77%,33/43,Dragons vs Storm,Dragons,2016
1,48%,26:03,173,"1,456",385,1,19,42.8,100,3.04s,6,376,207,14,19,417,0,73%,0,3,4,90.8%,396,22,18,9,11,8,2,71%,24/34,Dragons vs Storm,Storm,2016
