,Possession %,Time In Possession,All Runs,All Run Metres,Post Contact Metres,Line Breaks,Tackle Breaks,Average Set Distance,Kick Return Metres,Average Play The Ball Speed,Offloads,Receipts,Total Passes,Dummy Passes,Kicks,Kicking Metres,Forced Drop Outs,Kick Defusal %,Bombs,Grubbers,Effective Tackle %,Tackles Made,Missed Tackles,Intercepts,Ineffective Tackles,Errors,Penalties Conceded,Used,Completions (%),Completed Sets Ratio,Match,Team,Year
0,53%,29:56,189,"1,723",509,2,23,40.1,201,3.28s,12,432,223,18,25,716,3,80%,6,4,89.5%,359,27,1,15,11,2,6,77%,33/43,Dragons vs Cowboys,Dragons,2019
1,47%,26:33,169,"1,579",439,5,27,43.9,192,3.25s,7,400,206,9,26,710,1,67%,7,6,89.6%,388,23,0,22,9,5,8,78%,28/36,Dragons vs Cowboys,Cowboys,2019
