,Possession %,Time In Possession,All Runs,All Run Metres,Post Contact Metres,Line Breaks,Tackle Breaks,Average Set Distance,Kick Return Metres,Average Play The Ball Speed,Offloads,Receipts,Total Passes,Dummy Passes,Kicks,Kicking Metres,Forced Drop Outs,Kick Defusal %,Bombs,Grubbers,Effective Tackle %,Tackles Made,Missed Tackles,Intercepts,Ineffective Tackles,Errors,Penalties Conceded,On Reports,Sin Bins,Used,Completions (%),Completed Sets Ratio,Match,Team,Year
0,53%,28:13,161,"1,574",477,5,47,46.3,122,3.44s,10,378,208,18,17,457,2,100%,5,3,82.7%,306,39,1,25,11,5,0,0,7,74%,25/34,Broncos vs Rabbitohs,Broncos,2019
1,47%,25:01,162,"1,527",402,5,39,44.9,176,3.71s,17,351,187,18,11,349,1,62%,2,3,85%,340,47,0,13,13,4,2,2,8,68%,23/34,Broncos vs Rabbitohs,Rabbitohs,2019
