,Possession %,Time In Possession,All Runs,All Run Metres,Post Contact Metres,Line Breaks,Tackle Breaks,Average Set Distance,Kick Return Metres,Average Play The Ball Speed,Offloads,Receipts,Total Passes,Dummy Passes,Kicks,Kicking Metres,Forced Drop Outs,Kick Defusal %,Bombs,Grubbers,Effective Tackle %,Tackles Made,Missed Tackles,Intercepts,Ineffective Tackles,Errors,Penalties Conceded,Used,Completions (%),Completed Sets Ratio,Match,Team,Year
0,49%,24:47,169,"1,564",506,3,23,46,113,3.68s,10,381,217,24,17,522,2,43%,7,1,88.6%,349,40,0,5,10,9,8,76%,26/34,Eels vs Rabbitohs,Eels,2017
1,51%,25:48,161,"1,506",454,5,40,40.7,174,3.47s,3,361,201,14,15,383,0,64%,3,3,89.8%,309,23,2,12,11,5,8,76%,28/37,Eels vs Rabbitohs,Rabbitohs,2017
