,Possession %,Time In Possession,All Runs,All Run Metres,Post Contact Metres,Line Breaks,Tackle Breaks,Average Set Distance,Kick Return Metres,Average Play The Ball Speed,Offloads,Receipts,Total Passes,Dummy Passes,Kicks,Kicking Metres,Forced Drop Outs,Kick Defusal %,Bombs,Grubbers,Effective Tackle %,Tackles Made,Missed Tackles,Intercepts,Ineffective Tackles,Errors,Penalties Conceded,On Reports,Used,Head Injury Assessment,Completions (%),Completed Sets Ratio,Match,Team,Year
0,51%,27:23,177,"1,617",622,2,26,36.8,111,2.89s,10,401,206,28,23,547,3,70%,4,5,92.6%,361,23,1,6,15,8,1,8,2,70%,31/44,Eels vs Cowboys,Eels,2018
1,49%,26:18,163,"1,611",594,4,23,39.3,227,3.03s,4,418,244,20,13,175,1,58%,4,5,88.7%,354,26,0,19,20,6,0,6,0,59%,24/41,Eels vs Cowboys,Cowboys,2018
