,Possession %,Time In Possession,All Runs,All Run Metres,Post Contact Metres,Line Breaks,Tackle Breaks,Average Set Distance,Kick Return Metres,Offloads,Receipts,Total Passes,Dummy Passes,Kicks,Kicking Metres,Forced Drop Outs,Kick Defusal %,40/20,Bombs,Grubbers,Effective Tackle %,Tackles Made,Missed Tackles,Intercepts,Ineffective Tackles,Penalties Conceded,Completions (%),Completed Sets Ratio,Match,Team,Year
0,48%,21:54,160,"1,570",595,4,20,39.3,177,10,370,195,10,20,560,1,92%,0,3,5,85.2%,281,30,0,19,5,82%,33/40,Raiders vs Wests Tigers,Raiders,2014
1,52%,23:44,155,"1,483",509,3,30,40.1,154,12,362,200,6,14,436,3,86%,1,0,2,89.8%,309,20,1,15,8,57%,21/37,Raiders vs Wests Tigers,Wests Tigers,2014
