,Possession %,Time In Possession,All Runs,All Run Metres,Post Contact Metres,Line Breaks,Tackle Breaks,Average Set Distance,Kick Return Metres,Average Play The Ball Speed,Offloads,Receipts,Total Passes,Dummy Passes,Kicks,Kicking Metres,Forced Drop Outs,Kick Defusal %,40/20,Bombs,Grubbers,Effective Tackle %,Tackles Made,Missed Tackles,Ineffective Tackles,Errors,Penalties Conceded,Used,Completions (%),Completed Sets Ratio,Match,Team,Year
0,55%,30:09,186,"1,729",576,4,29,48,169,3.57s,17,417,222,5,20,490,2,67%,0,7,4,86.4%,285,18,27,7,6,8,78%,28/36,Sea Eagles vs Bulldogs,Sea Eagles,2019
1,45%,24:40,170,"1,496",448,3,18,41.6,140,3.28s,18,377,196,1,23,702,1,100%,1,7,3,86.2%,362,29,29,8,8,8,83%,30/36,Sea Eagles vs Bulldogs,Bulldogs,2019
