,Possession %,Time In Possession,All Runs,All Run Metres,Post Contact Metres,Line Breaks,Tackle Breaks,Average Set Distance,Kick Return Metres,Average Play The Ball Speed,Offloads,Receipts,Total Passes,Dummy Passes,Kicks,Kicking Metres,Forced Drop Outs,Kick Defusal %,Bombs,Grubbers,Effective Tackle %,Tackles Made,Missed Tackles,Intercepts,Ineffective Tackles,Errors,Penalties Conceded,Used,Head Injury Assessment,Completions (%),Completed Sets Ratio,Match,Team,Year
0,49%,27:43,181,"1,638",469,4,41,43.1,127,3.6s,7,430,229,22,24,574,2,70%,6,9,89.4%,319,32,1,6,7,7,7,1,84%,32/38,Wests Tigers vs Cowboys,Wests Tigers,2016
1,51%,28:51,155,"1,475",473,3,32,38.8,160,3.38s,4,397,227,45,17,348,0,69%,7,3,87.5%,358,41,0,10,15,7,8,0,58%,22/38,Wests Tigers vs Cowboys,Cowboys,2016
