,Possession %,Time In Possession,All Runs,All Run Metres,Post Contact Metres,Line Breaks,Tackle Breaks,Average Set Distance,Kick Return Metres,Average Play The Ball Speed,Offloads,Receipts,Total Passes,Dummy Passes,Kicks,Kicking Metres,Forced Drop Outs,Kick Defusal %,Bombs,Grubbers,Effective Tackle %,Tackles Made,Missed Tackles,Intercepts,Ineffective Tackles,Errors,Penalties Conceded,Used,Head Injury Assessment,Completions (%),Completed Sets Ratio,Match,Team,Year
0,49%,24:51,173,"1,715",404,5,23,55.3,182,3.65s,9,359,195,26,17,386,1,71%,2,5,83.8%,316,37,0,24,13,4,8,2,74%,23/31,Eels vs Wests Tigers,Eels,2017
1,51%,25:51,175,"1,786",473,4,37,49.6,257,3.31s,12,355,183,19,14,300,3,44%,1,3,86.9%,292,23,1,21,9,3,8,2,78%,28/36,Eels vs Wests Tigers,Wests Tigers,2017
