,Possession %,Time In Possession,All Runs,All Run Metres,Post Contact Metres,Line Breaks,Tackle Breaks,Average Set Distance,Kick Return Metres,Average Play The Ball Speed,Offloads,Receipts,Total Passes,Dummy Passes,Kicks,Kicking Metres,Forced Drop Outs,Kick Defusal %,Bombs,Grubbers,Effective Tackle %,Tackles Made,Missed Tackles,Ineffective Tackles,Errors,Penalties Conceded,Used,Completions (%),Completed Sets Ratio,Match,Team,Year
0,55%,31:36,207,"1,871",602,2,30,44.5,214,3.32s,10,473,256,40,24,594,5,82%,3,9,92%,333,20,9,8,6,8,83%,35/42,Bulldogs vs Broncos,Bulldogs,2017
1,45%,25:52,164,"1,495",483,0,20,41.6,126,3.53s,7,382,201,34,26,703,4,73%,3,4,90.4%,403,30,13,6,8,8,86%,31/36,Bulldogs vs Broncos,Broncos,2017
