,Possession %,Time In Possession,All Runs,All Run Metres,Post Contact Metres,Line Breaks,Tackle Breaks,Average Set Distance,Kick Return Metres,Offloads,Receipts,Total Passes,Dummy Passes,Kicks,Kicking Metres,Forced Drop Outs,Kick Defusal %,40/20,Bombs,Grubbers,Effective Tackle %,Tackles Made,Missed Tackles,Ineffective Tackles,Penalties Conceded,Sin Bins,Completions (%),Completed Sets Ratio,Match,Team,Year
0,57%,26:25,160,"1,469",422,8,22,37.7,227,10,398,225,8,22,537,2,92%,0,3,7,89.7%,252,14,15,3,0,79%,31/39,Sea Eagles vs Titans,Sea Eagles,2013
1,43%,19:55,127,"1,232",333,3,14,41.1,180,11,316,167,5,16,511,0,94%,1,2,2,89.4%,287,22,12,8,1,70%,21/30,Sea Eagles vs Titans,Titans,2013
