,Possession %,Time In Possession,All Runs,All Run Metres,Post Contact Metres,Line Breaks,Tackle Breaks,Average Set Distance,Kick Return Metres,Average Play The Ball Speed,Offloads,Receipts,Total Passes,Dummy Passes,Kicks,Kicking Metres,Forced Drop Outs,Kick Defusal %,Bombs,Grubbers,Effective Tackle %,Tackles Made,Missed Tackles,Ineffective Tackles,Errors,Penalties Conceded,On Reports,Used,Head Injury Assessment,Completions (%),Completed Sets Ratio,Match,Team,Year
0,53%,28:40,190,"1,722",562,8,30,44.2,192,3.77s,13,403,209,9,21,550,3,70%,3,7,87.8%,325,25,20,11,3,0,8,1,77%,30/39,Dragons vs Titans,Dragons,2019
1,47%,25:25,196,"1,578",502,6,25,45.1,167,3.39s,12,409,228,8,20,580,1,55%,7,4,87.5%,356,30,21,10,5,2,8,0,74%,26/35,Dragons vs Titans,Titans,2019
