,Possession %,Time In Possession,All Runs,All Run Metres,Post Contact Metres,Line Breaks,Tackle Breaks,Average Set Distance,Kick Return Metres,Average Play The Ball Speed,Offloads,Receipts,Total Passes,Dummy Passes,Kicks,Kicking Metres,Forced Drop Outs,Kick Defusal %,Bombs,Grubbers,Effective Tackle %,Tackles Made,Missed Tackles,Ineffective Tackles,Errors,Penalties Conceded,Sin Bins,Used,Head Injury Assessment,Completions (%),Completed Sets Ratio,Match,Team,Year
0,57%,30:01,198,"2,040",623,10,26,46.4,292,3.67s,8,439,247,23,20,549,3,78%,3,7,91.1%,298,16,13,7,4,0,8,4,82%,36/44,Storm vs Warriors,Storm,2016
1,43%,22:38,167,"1,484",465,1,16,49.5,145,3.57s,8,362,202,17,19,472,2,82%,4,5,90.3%,365,26,13,8,6,1,6,1,70%,21/30,Storm vs Warriors,Warriors,2016
