,Possession %,Time In Possession,All Runs,All Run Metres,Post Contact Metres,Line Breaks,Tackle Breaks,Average Set Distance,Kick Return Metres,Offloads,Receipts,Total Passes,Dummy Passes,Kicks,Kicking Metres,Forced Drop Outs,Kick Defusal %,Bombs,Grubbers,Effective Tackle %,Tackles Made,Missed Tackles,Ineffective Tackles,Penalties Conceded,Completions (%),Completed Sets Ratio,Match,Team,Year
0,52%,23:11,118,"1,138",363,3,14,40.6,171,6,300,165,18,19,475,2,100%,3,7,87.1%,317,30,17,4,71%,20/28,Raiders vs Warriors,Raiders,2014
1,48%,21:24,163,"1,554",478,11,30,43.2,137,11,383,211,8,17,512,0,79%,4,1,90.4%,225,14,10,3,75%,27/36,Raiders vs Warriors,Warriors,2014
