,Possession %,Time In Possession,All Runs,All Run Metres,Post Contact Metres,Line Breaks,Tackle Breaks,Average Set Distance,Kick Return Metres,Offloads,Receipts,Total Passes,Dummy Passes,Kicks,Kicking Metres,Forced Drop Outs,Kick Defusal %,Bombs,Grubbers,Effective Tackle %,Tackles Made,Missed Tackles,Ineffective Tackles,Penalties Conceded,On Reports,Completions (%),Completed Sets Ratio,Match,Team,Year
0,49%,26:33,178,"1,459",541,3,22,35.6,174,4,419,214,18,24,860,0,75%,4,1,91.2%,340,10,23,7,1,76%,31/41,Bulldogs vs Dragons,Bulldogs,2013
1,51%,27:39,171,"1,487",488,2,10,36.3,254,12,388,196,15,28,833,2,93%,7,3,92.6%,365,22,7,4,1,76%,31/41,Bulldogs vs Dragons,Dragons,2013
