,Possession %,Time In Possession,All Runs,All Run Metres,Post Contact Metres,Line Breaks,Tackle Breaks,Average Set Distance,Kick Return Metres,Offloads,Receipts,Total Passes,Dummy Passes,Kicks,Kicking Metres,Forced Drop Outs,Kick Defusal %,Bombs,Grubbers,Effective Tackle %,Tackles Made,Missed Tackles,Intercepts,Ineffective Tackles,Penalties Conceded,Completions (%),Completed Sets Ratio,Match,Team,Year
0,59%,30:11,171,"1,567",506,6,17,37.3,178,12,419,218,4,24,770,2,100%,1,4,94.8%,310,10,1,7,5,76%,32/42,Sea Eagles vs Knights,Sea Eagles,2013
1,41%,20:59,149,"1,299",458,1,10,36.1,148,4,362,202,9,17,515,0,93%,2,4,91.8%,346,17,0,14,5,67%,24/36,Sea Eagles vs Knights,Knights,2013
