,Possession %,Time In Possession,All Runs,All Run Metres,Post Contact Metres,Line Breaks,Tackle Breaks,Average Set Distance,Kick Return Metres,Average Play The Ball Speed,Offloads,Receipts,Total Passes,Dummy Passes,Kicks,Kicking Metres,Forced Drop Outs,Kick Defusal %,Bombs,Grubbers,Effective Tackle %,Tackles Made,Missed Tackles,Ineffective Tackles,Errors,Penalties Conceded,On Reports,Sin Bins,Used,Completions (%),Completed Sets Ratio,Match,Team,Year
0,51%,26:34,184,"1,712",533,5,48,46.3,225,3.48s,18,388,197,20,26,516,3,64%,4,8,87.7%,286,37,3,6,6,0,1,8,86%,32/37,Rabbitohs vs Panthers,Rabbitohs,2017
1,49%,25:32,141,"1,354",426,5,37,45.1,185,3.94s,4,306,163,12,15,419,3,35%,6,4,80.2%,303,48,27,9,8,1,1,8,77%,23/30,Rabbitohs vs Panthers,Panthers,2017
