,Possession %,Time In Possession,All Runs,All Run Metres,Post Contact Metres,Line Breaks,Tackle Breaks,Average Set Distance,Kick Return Metres,Offloads,Receipts,Total Passes,Dummy Passes,Kicks,Kicking Metres,Forced Drop Outs,Kick Defusal %,Bombs,Grubbers,Effective Tackle %,Tackles Made,Missed Tackles,Ineffective Tackles,Penalties Conceded,On Reports,Completions (%),Completed Sets Ratio,Match,Team,Year
0,58%,26:47,165,"1,513",545,4,34,36.9,233,8,389,211,15,15,422,2,100%,3,4,92.1%,244,19,2,2,0,76%,31/41,Broncos vs Roosters,Broncos,2014
1,42%,19:23,124,"1,111",370,6,19,37.1,134,2,314,169,4,12,375,0,60%,3,1,87.8%,309,34,9,10,1,73%,22/30,Broncos vs Roosters,Roosters,2014
