,Possession %,Time In Possession,All Runs,All Run Metres,Post Contact Metres,Line Breaks,Tackle Breaks,Average Set Distance,Kick Return Metres,Offloads,Receipts,Total Passes,Dummy Passes,Kicks,Kicking Metres,Forced Drop Outs,Kick Defusal %,Bombs,Grubbers,Effective Tackle %,Tackles Made,Missed Tackles,Ineffective Tackles,Penalties Conceded,Completions (%),Completed Sets Ratio,Match,Team,Year
0,49%,22:17,159,"1,563",505,5,17,38.1,281,9,360,194,15,17,493,1,87%,2,4,91.6%,293,19,8,4,78%,32/41,Titans vs Eels,Titans,2013
1,51%,23:11,129,"1,273",441,2,19,38.6,229,5,327,169,13,20,628,1,85%,1,4,91.4%,307,17,12,12,67%,22/33,Titans vs Eels,Eels,2013
