,Possession %,Time In Possession,All Runs,All Run Metres,Post Contact Metres,Line Breaks,Tackle Breaks,Average Set Distance,Kick Return Metres,Offloads,Receipts,Total Passes,Dummy Passes,Kicks,Kicking Metres,Forced Drop Outs,Kick Defusal %,Bombs,Grubbers,Effective Tackle %,Tackles Made,Missed Tackles,Intercepts,Ineffective Tackles,Penalties Conceded,On Reports,Completions (%),Completed Sets Ratio,Match,Team,Year
0,58%,29:06,180,"1,712",585,7,37,39.8,258,12,408,202,7,24,566,1,92%,3,4,95.4%,269,9,0,4,7,0,72%,31/43,Bulldogs vs Storm,Bulldogs,2014
1,42%,21:04,134,"1,219",423,2,9,33.9,129,3,299,146,4,19,608,1,93%,5,1,86.5%,360,37,1,19,7,1,78%,28/36,Bulldogs vs Storm,Storm,2014
