,Possession %,Time In Possession,All Runs,All Run Metres,Post Contact Metres,Line Breaks,Tackle Breaks,Average Set Distance,Kick Return Metres,Average Play The Ball Speed,Offloads,Receipts,Total Passes,Dummy Passes,Kicks,Kicking Metres,Forced Drop Outs,Kick Defusal %,Bombs,Grubbers,Effective Tackle %,Tackles Made,Missed Tackles,Ineffective Tackles,Errors,Penalties Conceded,On Reports,Used,Head Injury Assessment,Completions (%),Completed Sets Ratio,Match,Team,Year
0,54%,30:13,190,"1,638",564,2,18,38.1,221,3.3s,6,442,239,13,24,685,4,82%,5,7,89%,332,31,10,12,5,0,8,2,77%,33/43,Wests Tigers vs Rabbitohs,Wests Tigers,2019
1,46%,25:45,173,"1,477",445,2,31,37.9,182,3.34s,5,363,192,8,23,729,2,88%,4,6,93%,396,18,12,13,7,1,8,0,72%,28/39,Wests Tigers vs Rabbitohs,Rabbitohs,2019
