,Possession %,Time In Possession,All Runs,All Run Metres,Post Contact Metres,Line Breaks,Tackle Breaks,Average Set Distance,Kick Return Metres,Average Play The Ball Speed,Offloads,Receipts,Total Passes,Dummy Passes,Kicks,Kicking Metres,Forced Drop Outs,Kick Defusal %,40/20,Bombs,Grubbers,Effective Tackle %,Tackles Made,Missed Tackles,Intercepts,Ineffective Tackles,Errors,Penalties Conceded,Used,Head Injury Assessment,Completions (%),Completed Sets Ratio,Match,Team,Year
0,53%,28:00,181,"1,738",501,7,30,38.6,218,3.51s,6,421,231,24,25,626,1,88%,1,1,10,89.4%,305,27,0,9,13,3,7,0,73%,33/45,Cowboys vs Rabbitohs,Cowboys,2017
1,47%,24:49,175,"1,499",463,3,27,42.8,122,3.22s,6,375,201,16,20,576,1,42%,0,1,4,90.1%,356,30,1,9,12,5,8,2,74%,26/35,Cowboys vs Rabbitohs,Rabbitohs,2017
