,Possession %,Time In Possession,All Runs,All Run Metres,Post Contact Metres,Line Breaks,Tackle Breaks,Average Set Distance,Kick Return Metres,Average Play The Ball Speed,Offloads,Receipts,Total Passes,Dummy Passes,Kicks,Kicking Metres,Forced Drop Outs,Kick Defusal %,Bombs,Grubbers,Effective Tackle %,Tackles Made,Missed Tackles,Ineffective Tackles,Errors,Penalties Conceded,On Reports,Sin Bins,Used,Head Injury Assessment,Completions (%),Completed Sets Ratio,Match,Team,Year
0,44%,20:48,135,"1,215",396,1,16,39.2,149,3.44s,5,300,167,13,12,271,0,43%,5,4,85.1%,309,42,12,10,12,1,0,8,4,81%,25/31,Titans vs Dragons,Titans,2018
1,56%,26:29,184,"1,784",496,8,42,42.5,207,4.12s,9,378,211,14,17,492,1,67%,2,4,90.6%,261,16,11,7,9,0,1,8,0,83%,35/42,Titans vs Dragons,Dragons,2018
