,Possession %,Time In Possession,All Runs,All Run Metres,Post Contact Metres,Line Breaks,Tackle Breaks,Average Set Distance,Kick Return Metres,Average Play The Ball Speed,Offloads,Receipts,Total Passes,Dummy Passes,Kicks,Kicking Metres,Forced Drop Outs,Kick Defusal %,Bombs,Grubbers,Effective Tackle %,Tackles Made,Missed Tackles,Ineffective Tackles,Errors,Penalties Conceded,Sin Bins,Used,Completions (%),Completed Sets Ratio,Match,Team,Year
0,40%,21:31,144,"1,189",376,2,30,32.1,159,3.15s,9,354,189,16,20,505,4,45%,6,4,88%,403,28,27,15,10,0,5,62%,23/37,Panthers vs Eels,Panthers,2019
1,60%,32:16,196,"1,558",515,3,28,33.9,107,3.67s,14,447,246,9,21,555,2,80%,3,5,87.5%,280,30,10,15,2,1,8,70%,32/46,Panthers vs Eels,Eels,2019
