,Possession %,Time In Possession,All Runs,All Run Metres,Post Contact Metres,Line Breaks,Tackle Breaks,Average Set Distance,Kick Return Metres,Offloads,Receipts,Total Passes,Dummy Passes,Kicks,Kicking Metres,Forced Drop Outs,Kick Defusal %,Bombs,Grubbers,Effective Tackle %,Tackles Made,Missed Tackles,Ineffective Tackles,Penalties Conceded,Completions (%),Completed Sets Ratio,Match,Team,Year
0,41%,20:18,174,"1,460",532,4,42,35.6,172,16,389,215,5,16,404,3,93%,1,4,86.3%,322,32,19,6,61%,25/41,Bulldogs vs Panthers,Bulldogs,2014
1,59%,29:12,173,"1,514",527,4,32,38.8,127,15,402,213,13,21,439,0,100%,7,4,82.9%,319,42,24,9,79%,31/39,Bulldogs vs Panthers,Panthers,2014
