,Possession %,Time In Possession,All Runs,All Run Metres,Post Contact Metres,Line Breaks,Tackle Breaks,Average Set Distance,Kick Return Metres,Average Play The Ball Speed,Offloads,Receipts,Total Passes,Dummy Passes,Kicks,Kicking Metres,Forced Drop Outs,Kick Defusal %,Bombs,Grubbers,Effective Tackle %,Tackles Made,Missed Tackles,Intercepts,Ineffective Tackles,Penalties Conceded,On Reports,Completions (%),Completed Sets Ratio,Match,Team,Year
0,40%,20:47,156,"1,639",537,2,39,45.5,202,3.71s,10,333,166,14,16,390,1,86%,1,6,86.3%,322,32,1,19,9,1,75%,27/36,Raiders vs Sea Eagles,Raiders,2015
1,60%,31:11,182,"1,680",579,5,32,43.1,159,3.45s,11,415,232,24,18,528,2,78%,4,5,84%,299,39,0,18,9,1,79%,31/39,Raiders vs Sea Eagles,Sea Eagles,2015
