,Possession %,Time In Possession,All Runs,All Run Metres,Post Contact Metres,Line Breaks,Tackle Breaks,Average Set Distance,Kick Return Metres,Average Play The Ball Speed,Offloads,Receipts,Total Passes,Dummy Passes,Kicks,Kicking Metres,Forced Drop Outs,Kick Defusal %,Bombs,Grubbers,Effective Tackle %,Tackles Made,Missed Tackles,Intercepts,Ineffective Tackles,Errors,Penalties Conceded,On Reports,Used,Head Injury Assessment,Completions (%),Completed Sets Ratio,Match,Team,Year
0,48%,24:55,156,"1,440",403,2,29,36,164,3.52s,4,349,188,30,20,534,1,64%,2,4,84.6%,301,39,1,16,12,5,0,6,0,70%,28/40,Rabbitohs vs Eels,Rabbitohs,2017
1,52%,27:00,168,"1,622",511,6,39,46.4,184,3.6s,8,358,187,26,20,470,1,67%,8,3,89.6%,311,29,0,7,10,10,1,7,4,80%,28/35,Rabbitohs vs Eels,Eels,2017
