,Possession %,Time In Possession,All Runs,All Run Metres,Post Contact Metres,Line Breaks,Tackle Breaks,Average Set Distance,Kick Return Metres,Average Play The Ball Speed,Offloads,Receipts,Total Passes,Dummy Passes,Kicks,Kicking Metres,Forced Drop Outs,Kick Defusal %,Bombs,Grubbers,Effective Tackle %,Tackles Made,Missed Tackles,Intercepts,Ineffective Tackles,Errors,Penalties Conceded,Used,Completions (%),Completed Sets Ratio,Match,Team,Year
0,54%,29:51,173,"1,621",584,1,28,43.8,148,3.51s,9,408,225,29,20,380,1,100%,6,2,88.5%,322,31,1,11,8,8,8,84%,31/37,Bulldogs vs Titans,Bulldogs,2018
1,46%,25:25,175,"1,744",493,9,31,42.6,129,3.62s,10,396,222,25,17,413,0,75%,1,3,90.4%,376,28,1,12,12,7,8,76%,31/41,Bulldogs vs Titans,Titans,2018
