,Possession %,Time In Possession,All Runs,All Run Metres,Post Contact Metres,Line Breaks,Tackle Breaks,Average Set Distance,Kick Return Metres,Offloads,Receipts,Total Passes,Dummy Passes,Kicks,Kicking Metres,Forced Drop Outs,Kick Defusal %,Bombs,Grubbers,Effective Tackle %,Tackles Made,Missed Tackles,Ineffective Tackles,Penalties Conceded,Completions (%),Completed Sets Ratio,Match,Team,Year
0,58%,29:43,173,"1,555",629,4,24,40.9,160,9,385,203,26,18,530,1,85%,5,2,91%,362,22,14,4,71%,27/38,Wests Tigers vs Dragons,Wests Tigers,2013
1,42%,21:31,169,"1,714",632,3,22,44,238,12,374,188,24,20,570,2,86%,5,3,89.8%,345,24,15,5,69%,27/39,Wests Tigers vs Dragons,Dragons,2013
