,Possession %,Time In Possession,All Runs,All Run Metres,Post Contact Metres,Line Breaks,Tackle Breaks,Average Set Distance,Kick Return Metres,Average Play The Ball Speed,Offloads,Receipts,Total Passes,Dummy Passes,Kicks,Kicking Metres,Forced Drop Outs,Kick Defusal %,Bombs,Grubbers,Effective Tackle %,Tackles Made,Missed Tackles,Ineffective Tackles,Errors,Penalties Conceded,Sin Bins,Used,Head Injury Assessment,Completions (%),Completed Sets Ratio,Match,Team,Year
0,47%,26:01,167,"1,502",470,4,26,38.5,193,3.3s,10,405,239,22,14,341,1,70%,1,2,88%,381,39,13,14,9,0,9,3,67%,26/39,Cowboys vs Bulldogs,Cowboys,2018
1,53%,29:20,191,"1,558",563,4,39,41,149,3.39s,10,403,199,17,22,614,1,67%,4,6,88.4%,298,26,13,7,10,1,7,2,87%,33/38,Cowboys vs Bulldogs,Bulldogs,2018
