,Possession %,Time In Possession,All Runs,All Run Metres,Post Contact Metres,Line Breaks,Tackle Breaks,Average Set Distance,Kick Return Metres,Average Play The Ball Speed,Offloads,Receipts,Total Passes,Dummy Passes,Kicks,Kicking Metres,Kick Defusal %,Bombs,Grubbers,Effective Tackle %,Tackles Made,Missed Tackles,Ineffective Tackles,Penalties Conceded,On Reports,Completions (%),Completed Sets Ratio,Match,Team,Year
0,56%,26:44,196,"1,808",550,8,34,44.1,243,4.03s,12,418,222,32,19,672,62%,4,2,93%,305,16,7,4,0,78%,32/41,Broncos vs Cowboys,Broncos,2015
1,44%,21:01,148,"1,559",431,4,16,42.2,235,4.12s,4,347,189,21,16,515,56%,5,0,87.4%,353,34,17,5,1,70%,26/37,Broncos vs Cowboys,Cowboys,2015
