,Possession %,Time In Possession,All Runs,All Run Metres,Post Contact Metres,Line Breaks,Tackle Breaks,Average Set Distance,Kick Return Metres,Average Play The Ball Speed,Offloads,Receipts,Total Passes,Dummy Passes,Kicks,Kicking Metres,Forced Drop Outs,Kick Defusal %,40/20,Bombs,Grubbers,Effective Tackle %,Tackles Made,Missed Tackles,Intercepts,Ineffective Tackles,Penalties Conceded,Completions (%),Completed Sets Ratio,Match,Team,Year
0,52%,25:55,174,"1,555",547,6,22,38.9,168,3.44s,4,392,216,23,20,492,1,71%,0,3,6,87.4%,270,27,2,12,5,82%,33/40,Wests Tigers vs Storm,Wests Tigers,2015
1,48%,23:55,146,"1,319",445,4,27,38.8,155,3.64s,7,334,182,34,15,375,1,67%,1,1,4,92.5%,357,22,0,7,8,68%,23/34,Wests Tigers vs Storm,Storm,2015
