,Possession %,Time In Possession,All Runs,All Run Metres,Post Contact Metres,Line Breaks,Tackle Breaks,Average Set Distance,Kick Return Metres,Average Play The Ball Speed,Offloads,Receipts,Total Passes,Dummy Passes,Kicks,Kicking Metres,Forced Drop Outs,Kick Defusal %,Bombs,Grubbers,Effective Tackle %,Tackles Made,Missed Tackles,Ineffective Tackles,Errors,Penalties Conceded,Used,Head Injury Assessment,Completions (%),Completed Sets Ratio,Match,Team,Year
0,53%,28:45,196,"1,630",446,8,23,49.4,118,3.38s,14,415,237,7,18,477,2,55%,5,6,81.3%,313,38,34,6,4,8,2,91%,30/33,Warriors vs Dragons,Warriors,2019
1,47%,25:29,188,"1,600",354,2,38,50,185,3.38s,17,368,193,4,18,457,2,80%,7,3,89.1%,345,23,19,11,5,8,1,75%,24/32,Warriors vs Dragons,Dragons,2019
