,Possession %,Time In Possession,All Runs,All Run Metres,Post Contact Metres,Line Breaks,Tackle Breaks,Average Set Distance,Kick Return Metres,Average Play The Ball Speed,Offloads,Receipts,Total Passes,Dummy Passes,Kicks,Kicking Metres,Forced Drop Outs,Kick Defusal %,Bombs,Grubbers,Effective Tackle %,Tackles Made,Missed Tackles,Intercepts,Ineffective Tackles,Penalties Conceded,On Reports,Completions (%),Completed Sets Ratio,Match,Team,Year
0,46%,24:20,181,"1,712",530,3,29,50.4,133,4s,18,419,235,29,21,441,2,86%,7,2,87.1%,351,25,1,27,6,1,82%,28/34,Eels vs Bulldogs,Eels,2015
1,54%,28:34,181,"1,877",563,7,25,50.7,250,3.84s,19,393,209,36,17,462,0,92%,4,3,86%,332,29,0,25,7,0,76%,28/37,Eels vs Bulldogs,Bulldogs,2015
