,Possession %,Time In Possession,All Runs,All Run Metres,Post Contact Metres,Line Breaks,Tackle Breaks,Average Set Distance,Kick Return Metres,Average Play The Ball Speed,Offloads,Receipts,Total Passes,Dummy Passes,Kicks,Kicking Metres,Forced Drop Outs,Kick Defusal %,Bombs,Grubbers,Effective Tackle %,Tackles Made,Missed Tackles,Ineffective Tackles,Penalties Conceded,Completions (%),Completed Sets Ratio,Match,Team,Year
0,48%,25:49,181,"1,582",546,2,22,37.7,182,3.74s,10,423,234,35,21,591,0,67%,4,3,89%,356,24,20,4,79%,33/42,Rabbitohs vs Bulldogs,Rabbitohs,2015
1,52%,27:58,173,"1,668",570,5,24,49.1,242,3.29s,11,406,220,21,18,532,1,62%,3,6,90.2%,341,22,15,7,76%,26/34,Rabbitohs vs Bulldogs,Bulldogs,2015
