,Possession %,Time In Possession,All Runs,All Run Metres,Post Contact Metres,Line Breaks,Tackle Breaks,Average Set Distance,Kick Return Metres,Average Play The Ball Speed,Offloads,Receipts,Total Passes,Dummy Passes,Kicks,Kicking Metres,Forced Drop Outs,Kick Defusal %,Bombs,Grubbers,Effective Tackle %,Tackles Made,Missed Tackles,Ineffective Tackles,Penalties Conceded,Completions (%),Completed Sets Ratio,Match,Team,Year
0,37%,21:13,179,"1,467",523,1,15,34.1,106,3.5s,3,410,205,22,29,763,2,67%,0,10,88.7%,354,26,19,2,86%,37/43,Sharks vs Rabbitohs,Sharks,2015
1,63%,36:09,180,"1,475",525,1,26,41,177,4.28s,9,389,192,19,26,629,2,75%,2,8,96%,437,15,3,7,72%,26/36,Sharks vs Rabbitohs,Rabbitohs,2015
