,Possession %,Time In Possession,All Runs,All Run Metres,Post Contact Metres,Line Breaks,Tackle Breaks,Average Set Distance,Kick Return Metres,Average Play The Ball Speed,Offloads,Receipts,Total Passes,Dummy Passes,Kicks,Kicking Metres,Forced Drop Outs,Kick Defusal %,Bombs,Grubbers,Effective Tackle %,Tackles Made,Missed Tackles,Intercepts,Ineffective Tackles,Errors,Penalties Conceded,On Reports,Used,Head Injury Assessment,Completions (%),Completed Sets Ratio,Match,Team,Year
0,51%,22:23,171,"1,494",179,7,47,40.4,171,3.41s,18,358,185,15,15,363,0,71%,1,7,86.7%,300,18,0,28,11,8,0,8,1,73%,27/37,Sharks vs Titans,Sharks,2016
1,49%,21:30,166,"1,364",142,3,18,36.9,173,3.59s,17,388,212,15,23,482,4,50%,6,8,78.7%,270,47,1,26,8,8,2,7,3,78%,29/37,Sharks vs Titans,Titans,2016
