,Possession %,Time In Possession,All Runs,All Run Metres,Post Contact Metres,Line Breaks,Tackle Breaks,Average Set Distance,Kick Return Metres,Offloads,Receipts,Total Passes,Dummy Passes,Kicks,Kicking Metres,Forced Drop Outs,Kick Defusal %,40/20,Bombs,Grubbers,Effective Tackle %,Tackles Made,Missed Tackles,Ineffective Tackles,Penalties Conceded,Completions (%),Completed Sets Ratio,Match,Team,Year
0,55%,23:11,161,"1,433",461,6,25,40.9,263,15,384,220,12,14,386,2,100%,1,0,3,80.8%,244,31,27,7,66%,23/35,Sea Eagles vs Panthers,Sea Eagles,2013
1,45%,18:58,144,"1,267",395,6,31,32.5,124,16,369,213,11,15,480,0,100%,0,3,1,85.1%,274,25,23,4,77%,30/39,Sea Eagles vs Panthers,Panthers,2013
